year,spatial_fold,strategy,budget,seed,occupied_spatial_blocks,occupied_month_blocks,months_covered,fraction_with_historical_weight,mean_historical_weight
2005,2,random,1000,2,543,935,12,0.108,10.76
2005,2,spatial_coverage,1000,2,588,1000,12,0.093,6.566
2005,2,historical_density,1000,3,346,688,12,1.0,654.754
2005,2,random,1000,3,560,949,12,0.111,6.896
2005,2,spatial_coverage,1000,3,589,1000,12,0.084,4.45
2005,2,historical_density,1000,4,329,679,12,1.0,684.098
2005,2,random,1000,4,541,945,12,0.126,10.194
2005,2,spatial_coverage,1000,4,609,1000,12,0.099,7.307
2005,2,historical_density,1000,5,304,677,12,1.0,643.434
2005,2,random,1000,5,545,953,12,0.108,8.944
2005,2,spatial_coverage,1000,5,598,1000,12,0.104,11.386
2005,2,historical_density,1000,6,315,687,12,1.0,671.371
2005,2,random,1000,6,555,954,12,0.113,8.686
2005,2,spatial_coverage,1000,6,597,1000,12,0.082,4.766
2005,2,historical_density,1000,7,315,657,12,1.0,671.219
2005,2,random,1000,7,537,940,12,0.103,5.954
2005,2,spatial_coverage,1000,7,591,1000,12,0.119,5.588
2005,2,historical_density,1000,8,328,680,12,1.0,620.968
2005,2,random,1000,8,542,941,12,0.107,9.807
2005,2,spatial_coverage,1000,8,592,1000,12,0.091,9.498
2005,2,historical_density,1000,9,322,682,12,1.0,640.328
2005,2,random,1000,9,553,952,12,0.111,10.552
2005,2,spatial_coverage,1000,9,608,1000,12,0.084,5.402
2005,2,historical_density,1000,10,334,691,12,1.0,667.954
2005,2,random,1000,10,553,944,12,0.12,13.154
2005,2,spatial_coverage,1000,10,595,1000,12,0.109,6.964
2005,2,historical_density,1000,11,320,699,12,1.0,653.918
2005,2,random,1000,11,528,948,12,0.106,7.1
2005,2,spatial_coverage,1000,11,604,1000,12,0.102,9.202
2005,2,historical_density,1000,12,306,655,12,1.0,681.676
2005,2,random,1000,12,542,951,12,0.119,12.797
2005,2,spatial_coverage,1000,12,586,1000,12,0.099,5.966
2005,2,historical_density,1000,13,316,689,12,1.0,633.83
2005,2,random,1000,13,564,953,12,0.11,9.902
2005,2,spatial_coverage,1000,13,601,1000,12,0.091,9.873
2005,2,historical_density,1000,14,325,696,12,1.0,639.069
2005,2,random,1000,14,548,945,12,0.111,7.547
2005,2,spatial_coverage,1000,14,599,1000,12,0.093,4.711
2005,2,historical_density,1000,15,307,664,12,1.0,668.31
2005,2,random,1000,15,556,953,12,0.116,15.094
2005,2,spatial_coverage,1000,15,593,1000,12,0.101,10.892
2005,2,historical_density,1000,16,320,672,12,1.0,678.829
2005,2,random,1000,16,547,945,12,0.095,6.71
2005,2,spatial_coverage,1000,16,600,1000,12,0.104,8.583
2005,2,historical_density,1000,17,325,688,12,1.0,652.746
2005,2,random,1000,17,552,945,12,0.111,7.226
