regime,strategy,budget_fraction,n_development,n_train,n_test,rmse,mae,bias,seed
spatial_fold_3,coverage,0.2,43418,8684,5954,25.326014487121583,17.17025637973552,2.2514605998072046,1
spatial_fold_3,random,0.2,43418,8684,5954,26.129746069733987,17.551024491276028,1.405455953052195,1
spatial_fold_3,coverage,0.2,43418,8684,5954,25.190897674811158,17.144922701628484,1.8502748579903976,2
spatial_fold_3,random,0.2,43418,8684,5954,25.58009661780769,17.23127598505954,0.9445153536543894,2
spatial_fold_3,coverage,0.2,43418,8684,5954,25.28397802096404,17.239770577331008,1.9454539216256588,3
spatial_fold_3,random,0.2,43418,8684,5954,25.975992377627342,17.767248742586386,1.6519818680967835,3
spatial_fold_3,coverage,0.2,43418,8684,5954,25.518777273243487,17.33494258937098,2.8302078873776204,4
spatial_fold_3,random,0.2,43418,8684,5954,25.67804151074408,17.483829395930876,2.4975809049817754,4
spatial_fold_3,coverage,0.2,43418,8684,5954,25.273545893940423,17.029700574893777,2.652133955017702,5
spatial_fold_3,random,0.2,43418,8684,5954,26.81587661029279,17.861761174812145,1.3167293047300035,5
spatial_fold_3,coverage,0.2,43418,8684,5954,24.77802803339561,16.94154327959282,2.3156452642998264,6
spatial_fold_3,random,0.2,43418,8684,5954,26.349370237515966,17.94895911662266,2.223929684421319,6
spatial_fold_3,coverage,0.2,43418,8684,5954,25.64748933741116,17.273816688351083,1.9113869225986624,7
spatial_fold_3,random,0.2,43418,8684,5954,25.495566298929106,17.157044990329844,2.0424846552892366,7
spatial_fold_3,coverage,0.2,43418,8684,5954,24.832525834583578,17.022578170074535,2.615627597745501,8
spatial_fold_3,random,0.2,43418,8684,5954,25.82236292194483,17.469123470306567,1.420153058181678,8
spatial_fold_3,coverage,0.2,43418,8684,5954,25.137522091151133,17.059630013867643,3.024597745909177,9
spatial_fold_3,random,0.2,43418,8684,5954,26.007797051374123,17.680877153417267,2.437287772808064,9
spatial_fold_3,coverage,0.2,43418,8684,5954,25.64019503526888,17.361182578021566,0.8369264405302697,10
spatial_fold_3,random,0.2,43418,8684,5954,26.07522894098856,17.360333939440938,2.1861226684623016,10
spatial_fold_3,coverage,0.2,43418,8684,5954,24.972073984125835,16.89892083998854,1.6738379559254903,11
spatial_fold_3,random,0.2,43418,8684,5954,25.90891738770705,17.490141168433187,1.2972529679407865,11
spatial_fold_3,coverage,0.2,43418,8684,5954,25.956603407845687,17.46020576141805,2.6227406795216752,12
spatial_fold_3,random,0.2,43418,8684,5954,25.855750053488027,17.429660022776737,2.1248990496096543,12
spatial_fold_3,coverage,0.2,43418,8684,5954,25.421016097957654,17.23762564460948,1.7230269666281568,13
spatial_fold_3,random,0.2,43418,8684,5954,26.59280552733805,17.901230402338673,1.4548565307853727,13
spatial_fold_3,coverage,0.2,43418,8684,5954,25.520209216447483,17.453434548130716,1.6334359943838428,14
spatial_fold_3,random,0.2,43418,8684,5954,25.7328822979926,17.32303970607867,1.4215481470025904,14
spatial_fold_3,coverage,0.2,43418,8684,5954,25.77406341553819,17.419948251046392,2.841819030236606,15
spatial_fold_3,random,0.2,43418,8684,5954,26.477661373258737,17.89628906605885,1.6925408591868267,15
spatial_fold_3,coverage,0.2,43418,8684,5954,26.20791643430433,17.631575726493995,2.7871961158569145,16
