validation_scheme,year,spatial_fold,budget,domain,weighting,strategy,n_seeds,mean_bias,sd_bias,mean_mae,mean_rmse
whole_blocks,2010,4,5000,60_to_90n,spherical_cell_area,historical_density,20,-31.224618701286875,7.083859398450854,50.82107272537843,85.06808171458087
whole_blocks,2010,4,5000,60_to_90n,spherical_cell_area,random,20,1.9029661337857615,3.0926467336301338,22.235413498751367,51.425121231536195
whole_blocks,2010,4,5000,global,equal_cell,historical_density,20,-4.835624627583764,0.85783256489556,17.61230725736462,32.99258145771368
whole_blocks,2010,4,5000,global,equal_cell,random,20,-0.6377110495001872,0.36633261958803465,12.976844806693176,24.357729568661
whole_blocks,2010,4,5000,global,spherical_cell_area,historical_density,20,-3.135591514054908,0.36384287580324426,14.809474540148898,27.18073707327693
whole_blocks,2010,4,5000,global,spherical_cell_area,random,20,-1.314565634995298,0.34240071919185505,12.46886793670771,22.530028693670648
whole_blocks,2010,4,5000,south_of_60n,equal_cell,historical_density,20,-2.078458816344783,0.3255242469880804,13.73148642474337,22.101510337797613
whole_blocks,2010,4,5000,south_of_60n,equal_cell,random,20,-0.912948113533114,0.327031099728097,12.263223503043141,20.61186534661337
whole_blocks,2010,4,5000,south_of_60n,spherical_cell_area,historical_density,20,-2.0600435668217836,0.3209969662786603,13.43056596326825,22.12046432897369
whole_blocks,2010,4,5000,south_of_60n,spherical_cell_area,random,20,-1.43776711385046,0.3629500050394906,12.094900267382739,20.628841389555227
whole_blocks,2014,0,5000,60_to_90n,equal_cell,historical_density,20,-42.66481049965094,3.560998112643414,49.59720010115965,80.47336024074552
whole_blocks,2014,0,5000,60_to_90n,equal_cell,random,20,-4.286485514150693,2.793662993225423,20.018340658733244,45.00837499271756
whole_blocks,2014,0,5000,60_to_90n,spherical_cell_area,historical_density,20,-40.954400455997536,3.90807037643325,48.96896985971181,83.2432784717781
whole_blocks,2014,0,5000,60_to_90n,spherical_cell_area,random,20,-4.999283958877338,3.6228422873596475,22.938823039480102,49.318310107335826
whole_blocks,2014,0,5000,global,equal_cell,historical_density,20,-4.169176543641076,0.588110908809137,18.133858348427623,35.14056095444454
whole_blocks,2014,0,5000,global,equal_cell,random,20,0.6912771122721073,0.43698592656914836,13.539173812083058,26.738756850101804
whole_blocks,2014,0,5000,global,spherical_cell_area,historical_density,20,-0.6393221535060787,0.4421044407216508,15.354456697493768,28.745741344500495
whole_blocks,2014,0,5000,global,spherical_cell_area,random,20,1.1201104131661863,0.38926099102349776,12.916413632012361,24.909960734979006
whole_blocks,2014,0,5000,south_of_60n,equal_cell,historical_density,20,0.8006244330815822,0.37363092873548365,14.071928968270608,23.593592855890382
whole_blocks,2014,0,5000,south_of_60n,equal_cell,random,20,1.3339081594957745,0.37211911060060776,12.702710909312652,23.345350110703798
whole_blocks,2014,0,5000,south_of_60n,spherical_cell_area,historical_density,20,1.1029244367996263,0.38351365477927174,13.901780095894773,23.695913609140995
whole_blocks,2014,0,5000,south_of_60n,spherical_cell_area,random,20,1.3845646677116838,0.38684415426104835,12.483287631715607,23.276561967698488
whole_blocks,2014,1,5000,60_to_90n,equal_cell,historical_density,20,-31.196832206190084,5.576259365907412,43.03658870817871,65.11654485153842
whole_blocks,2014,1,5000,60_to_90n,equal_cell,random,20,3.1303802028723027,1.8991562569637186,16.763356804117247,29.020025704311234
whole_blocks,2014,1,5000,60_to_90n,spherical_cell_area,historical_density,20,-24.476656132913764,4.083359162435969,39.43708371942374,65.87659940539433
whole_blocks,2014,1,5000,60_to_90n,spherical_cell_area,random,20,3.991130800909775,2.308308494704409,19.290076053215568,32.942840260974755
whole_blocks,2014,1,5000,global,equal_cell,historical_density,20,-2.3607938044240964,0.7128217221226643,16.04847471554937,27.938821173490943
