validation_scheme,year,spatial_fold,budget,domain,weighting,mean_bias_historical_density,mean_bias_random,mean_mae_historical_density,mean_mae_random,mean_rmse_historical_density,mean_rmse_random,mean_bias_difference,mean_mae_difference,mean_rmse_difference
whole_blocks,2014,3,5000,60_to_90n,spherical_cell_area,-36.119707055644724,-3.996084760973475,45.31666766545098,16.49368074577682,81.344315501537,42.848981739914166,-32.12362229467125,28.822986919674157,38.49533376162283
whole_blocks,2014,3,5000,global,equal_cell,-6.382885667019031,-0.7067640251581698,18.05200506520449,12.01972488333403,37.50150991042774,24.914871261853698,-5.6761216418608615,6.03228018187046,12.586638648574045
whole_blocks,2014,3,5000,global,spherical_cell_area,-2.9237191677174814,-0.6028265040358582,15.158624404615072,11.809948507482684,30.77902802452425,23.184563748048188,-2.320892663681623,3.348675897132388,7.594464276476064
whole_blocks,2014,3,5000,south_of_60n,equal_cell,-1.9318699390014018,-0.33049005420793975,14.072390673445529,11.619859142601358,28.34429263900061,23.055954513273285,-1.6013798847934622,2.452531530844171,5.288338125727325
whole_blocks,2014,3,5000,south_of_60n,spherical_cell_area,-1.5835328963624806,-0.4658341016267807,13.941085836835274,11.620857173142623,26.79259221334062,22.020951874080414,-1.1176987947357,2.3202286636926512,4.771640339260205
whole_blocks,2014,4,5000,60_to_90n,equal_cell,-47.12442087165657,0.37727992927681775,53.677946933082545,18.172442602867807,77.52364276976039,41.24612471267925,-47.501700800933385,35.505504330214734,36.27751805708114
whole_blocks,2014,4,5000,60_to_90n,spherical_cell_area,-46.51392169880002,0.32754647886883903,54.19854499189514,21.42439232678202,82.57575283810907,47.57692527238771,-46.84146817766886,32.77415266511312,34.998827565721356
whole_blocks,2014,4,5000,global,equal_cell,-6.3424023357293615,-0.7576110079727495,17.958470073453682,12.885207770634523,33.4534842844363,24.293211097796302,-5.584791327756612,5.07326230281916,9.160273186639998
whole_blocks,2014,4,5000,global,spherical_cell_area,-3.232824309016057,-1.3821913799714172,15.179328788125577,12.59711380297217,28.448252474369717,23.520885041463977,-1.85063292904464,2.5822149851534064,4.92736743290574
whole_blocks,2014,4,5000,south_of_60n,equal_cell,-1.5662726872673594,-0.8905221891197386,13.775232985604935,12.266000582094701,23.352569620749033,21.444473224382012,-0.6757504981476208,1.509232403510234,1.9080963963670214
whole_blocks,2014,4,5000,south_of_60n,spherical_cell_area,-1.5755616654475721,-1.4476584049461472,13.685256472595679,12.259111307098824,24.054537318717795,22.08287475119959,-0.12790326050142498,1.4261451654968553,1.9716625675182051
