year,evaluation_domain,budget,seed,comparison,metric,difference
2005,all,500,18,historical_density_minus_random,mae,5.211813414135088
2005,all,500,18,historical_density_minus_random,median_absolute_error,3.7528571221521645
2005,all,500,18,historical_density_minus_random,p95_absolute_error,15.529858651319763
2005,all,500,18,historical_density_minus_random,p99_absolute_error,19.44619875872526
2005,all,500,19,spatial_coverage_minus_random,rmse,3.1864756563134833
2005,all,500,19,spatial_coverage_minus_random,mae,1.1021620345647243
2005,all,500,19,spatial_coverage_minus_random,median_absolute_error,0.3657430978328762
2005,all,500,19,spatial_coverage_minus_random,p95_absolute_error,1.6911452984746305
2005,all,500,19,spatial_coverage_minus_random,p99_absolute_error,31.05591636233187
2005,all,500,19,historical_density_minus_random,rmse,7.649295862630531
2005,all,500,19,historical_density_minus_random,mae,4.495228958908211
2005,all,500,19,historical_density_minus_random,median_absolute_error,2.409905512586363
2005,all,500,19,historical_density_minus_random,p95_absolute_error,19.177593561710417
2005,all,500,19,historical_density_minus_random,p99_absolute_error,35.451319254757706
2005,all,1000,0,spatial_coverage_minus_random,rmse,0.12246111333534415
2005,all,1000,0,spatial_coverage_minus_random,mae,1.242051274030576
2005,all,1000,0,spatial_coverage_minus_random,median_absolute_error,0.9773907152804497
2005,all,1000,0,spatial_coverage_minus_random,p95_absolute_error,3.9502574427377652
2005,all,1000,0,spatial_coverage_minus_random,p99_absolute_error,3.350570835506062
2005,all,1000,0,historical_density_minus_random,rmse,9.384164695852807
2005,all,1000,0,historical_density_minus_random,mae,5.789855313492945
2005,all,1000,0,historical_density_minus_random,median_absolute_error,2.6470033661789785
2005,all,1000,0,historical_density_minus_random,p95_absolute_error,29.345799748925714
2005,all,1000,0,historical_density_minus_random,p99_absolute_error,47.61968317650597
2005,all,1000,1,spatial_coverage_minus_random,rmse,0.5326274695352069
2005,all,1000,1,spatial_coverage_minus_random,mae,1.317139696380126
2005,all,1000,1,spatial_coverage_minus_random,median_absolute_error,1.079214095277706
2005,all,1000,1,spatial_coverage_minus_random,p95_absolute_error,4.006677084619028
2005,all,1000,1,spatial_coverage_minus_random,p99_absolute_error,1.1241375642459701
2005,all,1000,1,historical_density_minus_random,rmse,9.533446649663134
2005,all,1000,1,historical_density_minus_random,mae,6.02037847479674
2005,all,1000,1,historical_density_minus_random,median_absolute_error,2.895795194970617
2005,all,1000,1,historical_density_minus_random,p95_absolute_error,26.361230962332307
2005,all,1000,1,historical_density_minus_random,p99_absolute_error,36.58762228095745
2005,all,1000,2,spatial_coverage_minus_random,rmse,-0.9759577290763026
2005,all,1000,2,spatial_coverage_minus_random,mae,0.41185776751935954
2005,all,1000,2,spatial_coverage_minus_random,median_absolute_error,0.4110825944197245
2005,all,1000,2,spatial_coverage_minus_random,p95_absolute_error,1.968231400538535
2005,all,1000,2,spatial_coverage_minus_random,p99_absolute_error,-1.5113207967579854
2005,all,1000,2,historical_density_minus_random,rmse,6.151217834229577
2005,all,1000,2,historical_density_minus_random,mae,4.0328610669658005
2005,all,1000,2,historical_density_minus_random,median_absolute_error,2.52465457890429
2005,all,1000,2,historical_density_minus_random,p95_absolute_error,14.433133344648013
2005,all,1000,2,historical_density_minus_random,p99_absolute_error,31.044345863709225
2005,all,1000,3,spatial_coverage_minus_random,rmse,-0.5522443794817882
2005,all,1000,3,spatial_coverage_minus_random,mae,-0.08850231751186577
2005,all,1000,3,spatial_coverage_minus_random,median_absolute_error,0.3510929666486504
2005,all,1000,3,spatial_coverage_minus_random,p95_absolute_error,-0.9413618141899249
2005,all,1000,3,spatial_coverage_minus_random,p99_absolute_error,-7.27416845733886
2005,all,1000,3,historical_density_minus_random,rmse,9.52812334327847
2005,all,1000,3,historical_density_minus_random,mae,5.857396288616886
2005,all,1000,3,historical_density_minus_random,median_absolute_error,2.955164128809372
2005,all,1000,3,historical_density_minus_random,p95_absolute_error,29.65712138923267
2005,all,1000,3,historical_density_minus_random,p99_absolute_error,38.0004335681583
2005,all,1000,4,spatial_coverage_minus_random,rmse,11.540710823098763
2005,all,1000,4,spatial_coverage_minus_random,mae,4.887006275633798
2005,all,1000,4,spatial_coverage_minus_random,median_absolute_error,1.4668883434715667
2005,all,1000,4,spatial_coverage_minus_random,p95_absolute_error,16.823461570640838
2005,all,1000,4,spatial_coverage_minus_random,p99_absolute_error,69.96610522212507
2005,all,1000,4,historical_density_minus_random,rmse,11.468490539003184
2005,all,1000,4,historical_density_minus_random,mae,6.494091047047977
2005,all,1000,4,historical_density_minus_random,median_absolute_error,2.959127964723052
2005,all,1000,4,historical_density_minus_random,p95_absolute_error,26.635096649805668
2005,all,1000,4,historical_density_minus_random,p99_absolute_error,72.565823963296
2005,all,1000,5,spatial_coverage_minus_random,rmse,-0.5528446955167574
2005,all,1000,5,spatial_coverage_minus_random,mae,-0.22453421529372442
2005,all,1000,5,spatial_coverage_minus_random,median_absolute_error,0.19774761169620092
2005,all,1000,5,spatial_coverage_minus_random,p95_absolute_error,-1.800351011670081
2005,all,1000,5,spatial_coverage_minus_random,p99_absolute_error,-3.0652532642941424
2005,all,1000,5,historical_density_minus_random,rmse,8.04286598625631
2005,all,1000,5,historical_density_minus_random,mae,4.909037091980494
2005,all,1000,5,historical_density_minus_random,median_absolute_error,2.8008157843156027
2005,all,1000,5,historical_density_minus_random,p95_absolute_error,18.7877583189308
2005,all,1000,5,historical_density_minus_random,p99_absolute_error,35.58665769909891
2005,all,1000,6,spatial_coverage_minus_random,rmse,-1.6584355291113368
2005,all,1000,6,spatial_coverage_minus_random,mae,-0.2765588057049122
2005,all,1000,6,spatial_coverage_minus_random,median_absolute_error,0.2606095001537483
2005,all,1000,6,spatial_coverage_minus_random,p95_absolute_error,-1.4403923418221183
2005,all,1000,6,spatial_coverage_minus_random,p99_absolute_error,-11.661016119764994
2005,all,1000,6,historical_density_minus_random,rmse,7.594955582283017
2005,all,1000,6,historical_density_minus_random,mae,5.058048985385005
2005,all,1000,6,historical_density_minus_random,median_absolute_error,2.461696097858919
2005,all,1000,6,historical_density_minus_random,p95_absolute_error,22.401228044875936
2005,all,1000,6,historical_density_minus_random,p99_absolute_error,40.263662080614
2005,all,1000,7,spatial_coverage_minus_random,rmse,-0.4711970138245931
2005,all,1000,7,spatial_coverage_minus_random,mae,-0.1912542165601394
2005,all,1000,7,spatial_coverage_minus_random,median_absolute_error,-0.11755725538120032
2005,all,1000,7,spatial_coverage_minus_random,p95_absolute_error,0.45960461453769597
2005,all,1000,7,spatial_coverage_minus_random,p99_absolute_error,-3.5824991848868564
2005,all,1000,7,historical_density_minus_random,rmse,7.170013029145746
2005,all,1000,7,historical_density_minus_random,mae,5.107224590358589
2005,all,1000,7,historical_density_minus_random,median_absolute_error,3.1617194378463864
2005,all,1000,7,historical_density_minus_random,p95_absolute_error,17.707722475424696
2005,all,1000,7,historical_density_minus_random,p99_absolute_error,37.83845447749309
2005,all,1000,8,spatial_coverage_minus_random,rmse,5.938110491555111
2005,all,1000,8,spatial_coverage_minus_random,mae,2.744347197356511
2005,all,1000,8,spatial_coverage_minus_random,median_absolute_error,0.9185988981818412
2005,all,1000,8,spatial_coverage_minus_random,p95_absolute_error,10.168821971044615
2005,all,1000,8,spatial_coverage_minus_random,p99_absolute_error,26.574629294131
2005,all,1000,8,historical_density_minus_random,rmse,8.227716026220438
2005,all,1000,8,historical_density_minus_random,mae,4.593896986289494
2005,all,1000,8,historical_density_minus_random,median_absolute_error,1.977748426313923
2005,all,1000,8,historical_density_minus_random,p95_absolute_error,20.298316319957564
2005,all,1000,8,historical_density_minus_random,p99_absolute_error,39.694749804721184
2005,all,1000,9,spatial_coverage_minus_random,rmse,-0.3390285369546575
2005,all,1000,9,spatial_coverage_minus_random,mae,0.7827951238751609
2005,all,1000,9,spatial_coverage_minus_random,median_absolute_error,0.5616684984926792
2005,all,1000,9,spatial_coverage_minus_random,p95_absolute_error,4.057478215916525
2005,all,1000,9,spatial_coverage_minus_random,p99_absolute_error,2.2789653960441285
2005,all,1000,9,historical_density_minus_random,rmse,6.427733697548241
2005,all,1000,9,historical_density_minus_random,mae,4.401441407628928
2005,all,1000,9,historical_density_minus_random,median_absolute_error,2.2716442183967445
2005,all,1000,9,historical_density_minus_random,p95_absolute_error,16.972248636387278
2005,all,1000,9,historical_density_minus_random,p99_absolute_error,41.82146812911883
2005,all,1000,10,spatial_coverage_minus_random,rmse,-1.3579407944672255
2005,all,1000,10,spatial_coverage_minus_random,mae,0.35044462960300393
2005,all,1000,10,spatial_coverage_minus_random,median_absolute_error,0.947075687196758
2005,all,1000,10,spatial_coverage_minus_random,p95_absolute_error,-0.009681589036055982
2005,all,1000,10,spatial_coverage_minus_random,p99_absolute_error,-15.352225031483002
2005,all,1000,10,historical_density_minus_random,rmse,8.168091605066838
2005,all,1000,10,historical_density_minus_random,mae,5.555540032514349
2005,all,1000,10,historical_density_minus_random,median_absolute_error,3.3506303853007466
2005,all,1000,10,historical_density_minus_random,p95_absolute_error,23.923230152030044
2005,all,1000,10,historical_density_minus_random,p99_absolute_error,33.798525648200794
2005,all,1000,11,spatial_coverage_minus_random,rmse,-13.70549863270563
2005,all,1000,11,spatial_coverage_minus_random,mae,-3.1933972299239013
2005,all,1000,11,spatial_coverage_minus_random,median_absolute_error,0.21035060481870005
2005,all,1000,11,spatial_coverage_minus_random,p95_absolute_error,-12.583479274496355
2005,all,1000,11,spatial_coverage_minus_random,p99_absolute_error,-56.15614219645312
2005,all,1000,11,historical_density_minus_random,rmse,-5.323958580306879
2005,all,1000,11,historical_density_minus_random,mae,0.6528153372402841
2005,all,1000,11,historical_density_minus_random,median_absolute_error,1.5867021040798477
2005,all,1000,11,historical_density_minus_random,p95_absolute_error,4.425955291651853
2005,all,1000,11,historical_density_minus_random,p99_absolute_error,-8.507970222693444
2005,all,1000,12,spatial_coverage_minus_random,rmse,-1.7679141156054392
2005,all,1000,12,spatial_coverage_minus_random,mae,0.007683327374477855
2005,all,1000,12,spatial_coverage_minus_random,median_absolute_error,0.7470129817708653
2005,all,1000,12,spatial_coverage_minus_random,p95_absolute_error,-0.9712582511638388
2005,all,1000,12,spatial_coverage_minus_random,p99_absolute_error,-12.22676456354138
2005,all,1000,12,historical_density_minus_random,rmse,7.895167939826777
2005,all,1000,12,historical_density_minus_random,mae,5.095168144890875
2005,all,1000,12,historical_density_minus_random,median_absolute_error,3.0358661293339537
2005,all,1000,12,historical_density_minus_random,p95_absolute_error,18.549246125954248
2005,all,1000,12,historical_density_minus_random,p99_absolute_error,45.58307862974786
2005,all,1000,13,spatial_coverage_minus_random,rmse,4.4967377693963115
2005,all,1000,13,spatial_coverage_minus_random,mae,2.866241598488328
2005,all,1000,13,spatial_coverage_minus_random,median_absolute_error,1.8314126100832482
2005,all,1000,13,spatial_coverage_minus_random,p95_absolute_error,6.361754413636646
2005,all,1000,13,spatial_coverage_minus_random,p99_absolute_error,22.78873943281576
2005,all,1000,13,historical_density_minus_random,rmse,7.610552371045152
2005,all,1000,13,historical_density_minus_random,mae,5.312662582118493
2005,all,1000,13,historical_density_minus_random,median_absolute_error,3.4265070411061913
2005,all,1000,13,historical_density_minus_random,p95_absolute_error,18.775940631366076
2005,all,1000,13,historical_density_minus_random,p99_absolute_error,32.895874040284795
2005,all,1000,14,spatial_coverage_minus_random,rmse,3.151480340761079
2005,all,1000,14,spatial_coverage_minus_random,mae,2.5512124440602975
2005,all,1000,14,spatial_coverage_minus_random,median_absolute_error,1.1021170634909367
2005,all,1000,14,spatial_coverage_minus_random,p95_absolute_error,9.621111544909262
2005,all,1000,14,spatial_coverage_minus_random,p99_absolute_error,21.683286421775264
2005,all,1000,14,historical_density_minus_random,rmse,7.388041977176453
2005,all,1000,14,historical_density_minus_random,mae,5.080719121865901
2005,all,1000,14,historical_density_minus_random,median_absolute_error,2.930867160390136
2005,all,1000,14,historical_density_minus_random,p95_absolute_error,19.1853999713369
2005,all,1000,14,historical_density_minus_random,p99_absolute_error,38.67779857161267
2005,all,1000,15,spatial_coverage_minus_random,rmse,-0.25398704827854957
2005,all,1000,15,spatial_coverage_minus_random,mae,0.4285628563285755
2005,all,1000,15,spatial_coverage_minus_random,median_absolute_error,0.47569139495755053
2005,all,1000,15,spatial_coverage_minus_random,p95_absolute_error,0.16871221518204038
2005,all,1000,15,spatial_coverage_minus_random,p99_absolute_error,4.321754851059765
2005,all,1000,15,historical_density_minus_random,rmse,10.049655622439314
2005,all,1000,15,historical_density_minus_random,mae,5.646526856016697
2005,all,1000,15,historical_density_minus_random,median_absolute_error,2.924461735753539
2005,all,1000,15,historical_density_minus_random,p95_absolute_error,24.15712038753874
2005,all,1000,15,historical_density_minus_random,p99_absolute_error,54.15587689563321
2005,all,1000,16,spatial_coverage_minus_random,rmse,-0.045213910008364167
2005,all,1000,16,spatial_coverage_minus_random,mae,0.2848886895096552
2005,all,1000,16,spatial_coverage_minus_random,median_absolute_error,0.3451735162922489
2005,all,1000,16,spatial_coverage_minus_random,p95_absolute_error,0.7985104082030929
2005,all,1000,16,spatial_coverage_minus_random,p99_absolute_error,-1.2896957556915822
2005,all,1000,16,historical_density_minus_random,rmse,8.686365880725287
2005,all,1000,16,historical_density_minus_random,mae,4.814235603701928
2005,all,1000,16,historical_density_minus_random,median_absolute_error,1.9869164809552444
2005,all,1000,16,historical_density_minus_random,p95_absolute_error,25.55302620806966
2005,all,1000,16,historical_density_minus_random,p99_absolute_error,37.61119095102711
2005,all,1000,17,spatial_coverage_minus_random,rmse,-0.9754353630478896
2005,all,1000,17,spatial_coverage_minus_random,mae,0.1866664675865426
2005,all,1000,17,spatial_coverage_minus_random,median_absolute_error,0.5397281917938415
2005,all,1000,17,spatial_coverage_minus_random,p95_absolute_error,0.7339772416287573
2005,all,1000,17,spatial_coverage_minus_random,p99_absolute_error,-2.68560336305309
2005,all,1000,17,historical_density_minus_random,rmse,9.484281470493944
2005,all,1000,17,historical_density_minus_random,mae,5.48446195506796
2005,all,1000,17,historical_density_minus_random,median_absolute_error,2.5884833514905665
2005,all,1000,17,historical_density_minus_random,p95_absolute_error,24.05471838321708
2005,all,1000,17,historical_density_minus_random,p99_absolute_error,54.932006352793536
2005,all,1000,18,spatial_coverage_minus_random,rmse,2.3320710512828846
2005,all,1000,18,spatial_coverage_minus_random,mae,1.3342529518415347
2005,all,1000,18,spatial_coverage_minus_random,median_absolute_error,0.8712126179626694
2005,all,1000,18,spatial_coverage_minus_random,p95_absolute_error,4.2190921539734205
