year,validation_scheme,spatial_fold,budget,seed,strategy,domain,weighting,n_evaluation,bias,mae,rmse,latitude_cutoff_degrees_north
2005,hidden_cells,-1,5000,8,historical_density,south_of_60n,spherical_cell_area,87025,-0.2616498515245114,11.765710012081804,25.893791874300856,60.0
2005,hidden_cells,-1,5000,8,historical_density,60_to_90n,equal_cell,10463,-49.00968461778678,54.72899137340941,78.97340704937378,60.0
2005,hidden_cells,-1,5000,8,historical_density,60_to_90n,spherical_cell_area,10463,-42.94556681780035,49.73570665481881,78.78848648923118,60.0
2005,hidden_cells,-1,5000,9,random,global,equal_cell,97488,-0.2370000661645353,10.230934607855188,25.33747696690436,60.0
2005,hidden_cells,-1,5000,9,random,global,spherical_cell_area,97488,-0.0949221732899763,9.613798131542865,23.419162122108983,60.0
2005,hidden_cells,-1,5000,9,random,south_of_60n,equal_cell,87025,0.0277733716600685,9.590594544549564,23.392599153016786,60.0
2005,hidden_cells,-1,5000,9,random,south_of_60n,spherical_cell_area,87025,-0.0062271552416776,9.306049360503788,22.367047545847072,60.0
2005,hidden_cells,-1,5000,9,random,60_to_90n,equal_cell,10463,-2.439227766316132,15.55690173097206,37.8188017875451,60.0
2005,hidden_cells,-1,5000,9,random,60_to_90n,spherical_cell_area,10463,-2.3555473828998754,17.457582882322814,42.14564715773115,60.0
2005,hidden_cells,-1,5000,9,historical_density,global,equal_cell,97488,-5.5611932498995325,16.17060927378677,36.112011161314975,60.0
2005,hidden_cells,-1,5000,9,historical_density,global,spherical_cell_area,97488,-2.0583890400721048,12.880527186370728,29.584457918914826,60.0
2005,hidden_cells,-1,5000,9,historical_density,south_of_60n,equal_cell,87025,-0.9751166793854568,11.93653584026096,27.187520469876187,60.0
2005,hidden_cells,-1,5000,9,historical_density,south_of_60n,spherical_cell_area,87025,-0.6516726663260556,11.55080370795087,25.902794915278104,60.0
2005,hidden_cells,-1,5000,9,historical_density,60_to_90n,equal_cell,10463,-43.70544571563474,51.38710937438733,77.47717551334686,60.0
2005,hidden_cells,-1,5000,9,historical_density,60_to_90n,spherical_cell_area,10463,-37.91224608004295,46.77201831261616,77.98710537828151,60.0
2005,hidden_cells,-1,5000,10,random,global,equal_cell,97488,0.2774211619575901,10.646248330954258,25.59923898384592,60.0
2005,hidden_cells,-1,5000,10,random,global,spherical_cell_area,97488,-0.0173682239524949,9.912633289732144,23.52710448290197,60.0
2005,hidden_cells,-1,5000,10,random,south_of_60n,equal_cell,87025,0.0504971302113694,9.786019694074556,23.29067084109212,60.0
2005,hidden_cells,-1,5000,10,random,south_of_60n,spherical_cell_area,87025,-0.1220852045183975,9.493998852697782,22.263144971554205,60.0
2005,hidden_cells,-1,5000,10,random,60_to_90n,equal_cell,10463,2.16484005354842,17.80111759640929,39.925813518246805,60.0
2005,hidden_cells,-1,5000,10,random,60_to_90n,spherical_cell_area,10463,2.651618731014921,20.58263012603001,45.04078555335781,60.0
2005,hidden_cells,-1,5000,10,historical_density,global,equal_cell,97488,-5.595935039457836,16.5094377681693,36.36316217545258,60.0
2005,hidden_cells,-1,5000,10,historical_density,global,spherical_cell_area,97488,-2.0960120158692632,13.157498813830315,29.800092670081952,60.0
2005,hidden_cells,-1,5000,10,historical_density,south_of_60n,equal_cell,87025,-0.7358650142225953,12.200471036378046,27.38023158993699,60.0
2005,hidden_cells,-1,5000,10,historical_density,south_of_60n,spherical_cell_area,87025,-0.6113180719868346,11.80581149783213,26.12359229690532,60.0
2005,hidden_cells,-1,5000,10,historical_density,60_to_90n,equal_cell,10463,-46.01910181247674,52.34885570127971,78.00542186203697,60.0
2005,hidden_cells,-1,5000,10,historical_density,60_to_90n,spherical_cell_area,10463,-39.93733199021182,47.60879595874422,78.28402630082564,60.0
2005,hidden_cells,-1,5000,11,random,global,equal_cell,97488,0.9183533634138104,12.189787246453376,30.036805886590123,60.0
2005,hidden_cells,-1,5000,11,random,global,spherical_cell_area,97488,0.6728971418682245,10.983575562376505,26.228596163790822,60.0
2005,hidden_cells,-1,5000,11,random,south_of_60n,equal_cell,87025,0.5883827020571382,10.666734971808223,24.956767680809847,60.0
2005,hidden_cells,-1,5000,11,random,south_of_60n,spherical_cell_area,87025,0.5079979867748988,10.31077528596867,23.564713890091387,60.0
2005,hidden_cells,-1,5000,11,random,60_to_90n,equal_cell,10463,3.662852723498336,24.857628611357704,56.79646450853777,60.0
2005,hidden_cells,-1,5000,11,random,60_to_90n,spherical_cell_area,10463,4.8757846912495255,28.131655571242632,63.78641883082191,60.0
2005,hidden_cells,-1,5000,11,historical_density,global,equal_cell,97488,-5.045832146768523,15.71755896454503,35.23434595163875,60.0
2005,hidden_cells,-1,5000,11,historical_density,global,spherical_cell_area,97488,-2.018830209881011,12.705090256552792,29.372891164866747,60.0
2005,hidden_cells,-1,5000,11,historical_density,south_of_60n,equal_cell,87025,-1.0535107813176323,11.8686750607678,27.36675268590726,60.0
2005,hidden_cells,-1,5000,11,historical_density,south_of_60n,spherical_cell_area,87025,-0.79624927189706,11.445592604762783,25.98571054950968,60.0
2005,hidden_cells,-1,5000,11,historical_density,60_to_90n,equal_cell,10463,-38.2515825843451,47.73028205794211,73.06125440526344,60.0
2005,hidden_cells,-1,5000,11,historical_density,60_to_90n,spherical_cell_area,10463,-33.17951262487319,44.80669196692724,75.11285072794499,60.0
2005,hidden_cells,-1,5000,12,random,global,equal_cell,97488,-0.1240757458576617,10.14552714956132,24.923120922650615,60.0
2005,hidden_cells,-1,5000,12,random,global,spherical_cell_area,97488,-0.0101498487597553,9.595868552511844,23.106622704280223,60.0
2005,hidden_cells,-1,5000,12,random,south_of_60n,equal_cell,87025,0.0974021550721665,9.54339147611096,23.019934051523112,60.0
2005,hidden_cells,-1,5000,12,random,south_of_60n,spherical_cell_area,87025,0.0686005482184244,9.310341040259928,22.07929183123228,60.0
2005,hidden_cells,-1,5000,12,random,60_to_90n,equal_cell,10463,-1.966196966197746,15.15373292056558,37.149429531975,60.0
2005,hidden_cells,-1,5000,12,random,60_to_90n,spherical_cell_area,10463,-2.017310302560181,16.87328622982025,41.437592162231496,60.0
2005,hidden_cells,-1,5000,12,historical_density,global,equal_cell,97488,-5.029332148726271,15.457757636963333,35.53843151659739,60.0
2005,hidden_cells,-1,5000,12,historical_density,global,spherical_cell_area,97488,-2.01567392473963,12.51654219843899,29.480846331032268,60.0
2005,hidden_cells,-1,5000,12,historical_density,south_of_60n,equal_cell,87025,-0.8379100961214261,11.593426189739738,27.17456243431054,60.0
2005,hidden_cells,-1,5000,12,historical_density,south_of_60n,spherical_cell_area,87025,-0.6871255769570126,11.244424018342029,25.879108695062055,60.0
2005,hidden_cells,-1,5000,12,historical_density,60_to_90n,equal_cell,10463,-39.89108347510843,47.59896419288736,75.00434764722048,60.0
2005,hidden_cells,-1,5000,12,historical_density,60_to_90n,spherical_cell_area,10463,-35.8772137639614,44.939811180291485,77.1436928246755,60.0
2005,hidden_cells,-1,5000,13,random,global,equal_cell,97488,-0.1427350409071949,10.631136017164252,25.27000877048953,60.0
2005,hidden_cells,-1,5000,13,random,global,spherical_cell_area,97488,-0.2288602673461077,9.971878508453717,23.253013259233143,60.0
2005,hidden_cells,-1,5000,13,random,south_of_60n,equal_cell,87025,-0.0708381838191704,9.849849209339832,23.186937457696075,60.0
2005,hidden_cells,-1,5000,13,random,south_of_60n,spherical_cell_area,87025,-0.1798404290142864,9.623587299270906,22.1569353657369,60.0
2005,hidden_cells,-1,5000,13,random,60_to_90n,equal_cell,10463,-0.7407302610243072,17.129414183170205,38.446405401735845,60.0
2005,hidden_cells,-1,5000,13,random,60_to_90n,spherical_cell_area,10463,-1.4782594415316557,18.84899365076556,42.535797205562616,60.0
2005,hidden_cells,-1,5000,13,historical_density,global,equal_cell,97488,-5.1666803867704765,16.18963223530946,35.085443388050855,60.0
2005,hidden_cells,-1,5000,13,historical_density,global,spherical_cell_area,97488,-1.780815230320837,12.930404774862536,28.953106141105597,60.0
2005,hidden_cells,-1,5000,13,historical_density,south_of_60n,equal_cell,87025,-0.4577336398711432,11.993610548412155,26.78804051724841,60.0
2005,hidden_cells,-1,5000,13,historical_density,south_of_60n,spherical_cell_area,87025,-0.3421524918523272,11.619827516448424,25.584711586831546,60.0
2005,hidden_cells,-1,5000,13,historical_density,60_to_90n,equal_cell,10463,-44.33289377192908,51.08964057921062,74.16909066524539,60.0
2005,hidden_cells,-1,5000,13,historical_density,60_to_90n,spherical_cell_area,10463,-38.4489091805053,46.33390425776498,74.29995522915017,60.0
2005,hidden_cells,-1,5000,14,random,global,equal_cell,97488,-0.759803067444752,10.138517187426162,25.817549940434223,60.0
2005,hidden_cells,-1,5000,14,random,global,spherical_cell_area,97488,-0.5298682258494621,9.49828621098019,23.731094639568283,60.0
2005,hidden_cells,-1,5000,14,random,south_of_60n,equal_cell,87025,-0.4686302722849196,9.458840160982758,23.738518806278265,60.0
2005,hidden_cells,-1,5000,14,random,south_of_60n,spherical_cell_area,87025,-0.3994622926403988,9.178295698618433,22.602441530936176,60.0
2005,hidden_cells,-1,5000,14,random,60_to_90n,equal_cell,10463,-3.1816048928088354,15.791665732416806,39.03173677231592,60.0
2005,hidden_cells,-1,5000,14,random,60_to_90n,spherical_cell_area,10463,-3.8536055290492985,17.65408385326779,43.54339336583731,60.0
2005,hidden_cells,-1,5000,14,historical_density,global,equal_cell,97488,-5.731888495930835,16.170440925738845,35.37797111640931,60.0
2005,hidden_cells,-1,5000,14,historical_density,global,spherical_cell_area,97488,-2.2838358963974037,12.921105027892263,29.05164248938076,60.0
2005,hidden_cells,-1,5000,14,historical_density,south_of_60n,equal_cell,87025,-0.913932050675374,11.96971487652713,26.766145187531983,60.0
2005,hidden_cells,-1,5000,14,historical_density,south_of_60n,spherical_cell_area,87025,-0.8114564939002931,11.611151603616962,25.54367297630724,60.0
2005,hidden_cells,-1,5000,14,historical_density,60_to_90n,equal_cell,10463,-45.8047796025309,51.1095773524472,75.51729539795392,60.0
2005,hidden_cells,-1,5000,14,historical_density,60_to_90n,spherical_cell_area,10463,-39.811287478658734,46.30870446125584,75.6660721218421,60.0
2005,hidden_cells,-1,5000,15,random,global,equal_cell,97488,0.1949693106468648,11.322253595703986,27.52198364948464,60.0
2005,hidden_cells,-1,5000,15,random,global,spherical_cell_area,97488,0.1606194623876399,10.383705948995612,24.60188028362184,60.0
2005,hidden_cells,-1,5000,15,random,south_of_60n,equal_cell,87025,0.1154954026351193,10.229842124370508,23.957988674302875,60.0
2005,hidden_cells,-1,5000,15,random,south_of_60n,spherical_cell_area,87025,0.10019220727306,9.887480175528912,22.74380184237348,60.0
2005,hidden_cells,-1,5000,15,random,60_to_90n,equal_cell,10463,0.85598592583583,20.408281340403967,47.78587674460976,60.0
2005,hidden_cells,-1,5000,15,random,60_to_90n,spherical_cell_area,10463,1.7007665784878965,23.031321540506426,53.361498182496334,60.0
2005,hidden_cells,-1,5000,15,historical_density,global,equal_cell,97488,-5.641274555571488,16.103686231824838,36.021221687043166,60.0
2005,hidden_cells,-1,5000,15,historical_density,global,spherical_cell_area,97488,-2.381347198035189,12.914203921475956,29.80070951501855,60.0
2005,hidden_cells,-1,5000,15,historical_density,south_of_60n,equal_cell,87025,-1.0801216809244325,11.99438283494158,27.46077304948192,60.0
2005,hidden_cells,-1,5000,15,historical_density,south_of_60n,spherical_cell_area,87025,-0.9580813370623698,11.576328483210292,26.106690197596038,60.0
2005,hidden_cells,-1,5000,15,historical_density,60_to_90n,equal_cell,10463,-43.57822656896727,50.28242350734486,76.27248254741306,60.0
2005,hidden_cells,-1,5000,15,historical_density,60_to_90n,spherical_cell_area,10463,-38.65701133443825,47.01346912952066,78.43381341581089,60.0
2005,hidden_cells,-1,5000,16,random,global,equal_cell,97488,0.4793232073783942,11.770956863933923,29.80671232409324,60.0
2005,hidden_cells,-1,5000,16,random,global,spherical_cell_area,97488,0.5887071862372735,10.828049565883472,26.200412417022715,60.0
2005,hidden_cells,-1,5000,16,random,south_of_60n,equal_cell,87025,0.6178201300704063,10.600682515570972,25.283643586078032,60.0
2005,hidden_cells,-1,5000,16,random,south_of_60n,spherical_cell_area,87025,0.6081976017074844,10.273704690749453,23.82586011066295,60.0
2005,hidden_cells,-1,5000,16,random,60_to_90n,equal_cell,10463,-0.6726116771931764,21.50460162798685,54.41461020014697,60.0
