validation_scheme,year,spatial_fold,budget,domain,weighting,comparison,random_bias,comparator_bias,difference_bias,random_mae,comparator_mae,difference_mae,random_rmse,comparator_rmse,difference_rmse
whole_blocks_latitude_cap,2005,0,5000,global,equal_cell,historical_density_minus_random,1.2253558326555392,0.32968878908198085,-0.8956670435735583,11.845870105127107,13.375849376410056,1.529979271282949,22.487608339429528,22.77890808827368,0.29129974884415333
whole_blocks_latitude_cap,2005,0,5000,global,equal_cell,spatial_coverage_minus_random,1.2253558326555392,0.8499156223670136,-0.3754402102885256,11.845870105127107,11.928926735605346,0.08305663047823941,22.487608339429528,19.39245760950859,-3.095150729920938
whole_blocks_latitude_cap,2005,0,5000,global,spherical_cell_area,historical_density_minus_random,1.2635031610400471,0.5755861945088665,-0.6879169665311806,11.47558142699268,13.02956565872071,1.5539842317280304,21.944760008352795,22.5814765259096,0.6367165175568061
whole_blocks_latitude_cap,2005,0,5000,global,spherical_cell_area,spatial_coverage_minus_random,1.2635031610400471,1.0012338047301972,-0.26226935630984993,11.47558142699268,11.596779354597704,0.12119792760502435,21.944760008352795,19.01434885086592,-2.9304111574868728
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,equal_cell,historical_density_minus_random,1.2253558326555392,0.32968878908198085,-0.8956670435735583,11.845870105127107,13.375849376410056,1.529979271282949,22.487608339429528,22.77890808827368,0.29129974884415333
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,1.2253558326555392,0.8499156223670136,-0.3754402102885256,11.845870105127107,11.928926735605346,0.08305663047823941,22.487608339429528,19.39245760950859,-3.095150729920938
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,1.2635031610400471,0.5755861945088665,-0.6879169665311806,11.47558142699268,13.02956565872071,1.5539842317280304,21.944760008352795,22.5814765259096,0.6367165175568061
whole_blocks_latitude_cap,2005,0,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,1.2635031610400471,1.0012338047301972,-0.26226935630984993,11.47558142699268,11.596779354597704,0.12119792760502435,21.944760008352795,19.01434885086592,-2.9304111574868728
whole_blocks_latitude_cap,2005,1,5000,global,equal_cell,historical_density_minus_random,-1.054571810707395,0.39221599985619654,1.4467878105635914,11.509394288641285,12.462821935710057,0.9534276470687715,23.59064036554792,18.79631901779286,-4.794321347755059
whole_blocks_latitude_cap,2005,1,5000,global,equal_cell,spatial_coverage_minus_random,-1.054571810707395,0.13017701792470987,1.1847488286321048,11.509394288641285,11.064031008122043,-0.445363280519242,23.59064036554792,18.5356889196576,-5.054951445890321
whole_blocks_latitude_cap,2005,1,5000,global,spherical_cell_area,historical_density_minus_random,-0.7520792651403772,0.5142875648513766,1.2663668299917537,11.244336887468766,12.150654666737392,0.9063177792686261,22.96468843966491,18.435704805944578,-4.528983633720333
whole_blocks_latitude_cap,2005,1,5000,global,spherical_cell_area,spatial_coverage_minus_random,-0.7520792651403772,0.5381702628799845,1.2902495280203616,11.244336887468766,10.888640834430362,-0.3556960530384039,22.96468843966491,18.20919601938013,-4.7554924202847815
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,equal_cell,historical_density_minus_random,-1.054571810707395,0.39221599985619654,1.4467878105635914,11.509394288641285,12.462821935710057,0.9534276470687715,23.59064036554792,18.79631901779286,-4.794321347755059
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,-1.054571810707395,0.13017701792470987,1.1847488286321048,11.509394288641285,11.064031008122043,-0.445363280519242,23.59064036554792,18.5356889196576,-5.054951445890321
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,-0.7520792651403772,0.5142875648513766,1.2663668299917537,11.244336887468766,12.150654666737392,0.9063177792686261,22.96468843966491,18.435704805944578,-4.528983633720333
whole_blocks_latitude_cap,2005,1,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,-0.7520792651403772,0.5381702628799845,1.2902495280203616,11.244336887468766,10.888640834430362,-0.3556960530384039,22.96468843966491,18.20919601938013,-4.7554924202847815
whole_blocks_latitude_cap,2005,2,5000,global,equal_cell,historical_density_minus_random,0.5985814656740919,-0.8955888776221477,-1.4941703432962394,13.199948271332412,15.725933414339455,2.525985143007043,34.74661865912186,37.76346736266639,3.0168487035445324
whole_blocks_latitude_cap,2005,2,5000,global,equal_cell,spatial_coverage_minus_random,0.5985814656740919,0.46382502750764,-0.1347564381664519,13.199948271332412,13.092934037613318,-0.10701423371909335,34.74661865912186,33.63537257942547,-1.111246079696386
whole_blocks_latitude_cap,2005,2,5000,global,spherical_cell_area,historical_density_minus_random,0.9988456189430955,0.11189776624390928,-0.8869478526991863,12.801692428247884,15.189940684875314,2.3882482566274295,32.31508325375004,35.04670512709618,2.7316218733461426
whole_blocks_latitude_cap,2005,2,5000,global,spherical_cell_area,spatial_coverage_minus_random,0.9988456189430955,0.7931672959198631,-0.2056783230232324,12.801692428247884,12.686325121185266,-0.115367307062618,32.31508325375004,31.281541145019844,-1.0335421087301953
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,equal_cell,historical_density_minus_random,0.5985814656740919,-0.8955888776221477,-1.4941703432962394,13.199948271332412,15.725933414339455,2.525985143007043,34.74661865912186,37.76346736266639,3.0168487035445324
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,equal_cell,spatial_coverage_minus_random,0.5985814656740919,0.46382502750764,-0.1347564381664519,13.199948271332412,13.092934037613318,-0.10701423371909335,34.74661865912186,33.63537257942547,-1.111246079696386
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,spherical_cell_area,historical_density_minus_random,0.9988456189430955,0.11189776624390928,-0.8869478526991863,12.801692428247884,15.189940684875314,2.3882482566274295,32.31508325375004,35.04670512709618,2.7316218733461426
whole_blocks_latitude_cap,2005,2,5000,south_of_60n,spherical_cell_area,spatial_coverage_minus_random,0.9988456189430955,0.7931672959198631,-0.2056783230232324,12.801692428247884,12.686325121185266,-0.115367307062618,32.31508325375004,31.281541145019844,-1.0335421087301953
whole_blocks_latitude_cap,2005,3,5000,global,equal_cell,historical_density_minus_random,0.16713049390324222,-1.2831834422804995,-1.4503139361837418,11.41153221653367,14.098820661913674,2.6872884453800037,41.46925666566968,45.940149885659125,4.470893219989442
whole_blocks_latitude_cap,2005,3,5000,global,equal_cell,spatial_coverage_minus_random,0.16713049390324222,-0.07852079175080781,-0.24565128565405003,11.41153221653367,11.44103704069909,0.029504824165419663,41.46925666566968,38.47796351368946,-2.991293151980223
whole_blocks_latitude_cap,2005,3,5000,global,spherical_cell_area,historical_density_minus_random,0.21429482300660707,-0.7508629165843114,-0.9651577395909184,11.039805864837799,13.395494754957753,2.3556888901199535,37.652494342683305,41.584935319168636,3.9324409764853314
whole_blocks_latitude_cap,2005,3,5000,global,spherical_cell_area,spatial_coverage_minus_random,0.21429482300660707,0.02780478350608371,-0.18649003950052337,11.039805864837799,11.100552643274197,0.060746778436397975,37.652494342683305,34.98607629749139,-2.666418045191918
