validation_scheme,budget,comparison,metric,n_units,n_years,unit_definition,mean_random_baseline,mean_comparator_value,mean_difference,median_difference,q25_difference,q75_difference,minimum_difference,maximum_difference,units_below_zero,units_above_zero,mean_relative_error_change_percent
month_stratified_hidden_cells,5000,spatial_coverage_minus_random,p95_absolute_error,3,3,year,30.695512375707782,31.785307210746755,1.089794835038969,1.0695523002454372,1.041790613185393,1.1276777894957792,1.0140289261253486,1.1858032787461212,0,3,3.551273662913404
month_stratified_hidden_cells,5000,spatial_coverage_minus_random,p99_absolute_error,3,3,year,66.40595088521074,61.685599177109644,-4.7203517081010915,-4.253114723319214,-4.977212670979686,-4.229872252831559,-5.701310618640157,-4.206629782343903,3,0,-7.098704631160989
month_stratified_hidden_cells,5000,spatial_coverage_minus_random,rmse,3,3,year,25.935714235208774,24.82877382822588,-1.1069404069828899,-1.0883186637380504,-1.2861500043920948,-0.9184199379512652,-1.4839813450461392,-0.74852121216448,3,0,-4.233611839419473
whole_spatial_blocks,1000,historical_density_minus_random,bias,15,3,year-fold,0.2448741210367667,-3.5619263598952458,-3.806800480932012,-3.726255317139665,-4.353043603621455,-3.010487661183527,-6.252404931222459,-1.2528442201582781,15,0,
whole_spatial_blocks,1000,historical_density_minus_random,mae,15,3,year-fold,15.756649113935177,20.480081513802826,4.72343239986765,4.297078592242116,4.102293875225119,5.3812535039058105,3.8953737329624154,6.207385484794269,0,15,30.022897812800913
whole_spatial_blocks,1000,historical_density_minus_random,median_absolute_error,15,3,year-fold,10.062421600288364,12.797500902312231,2.7350793020238666,2.701044637539791,2.4128850403279403,2.7783094113614437,2.335471896790054,3.543539030557005,0,15,27.258011068572003
whole_spatial_blocks,1000,historical_density_minus_random,p95_absolute_error,15,3,year-fold,45.8607207561382,65.20643978885946,19.34571903272125,17.13291521745512,14.214548776875485,24.02716987515228,11.76847240282828,31.058817696296174,0,15,42.424960775383724
whole_spatial_blocks,1000,historical_density_minus_random,p99_absolute_error,15,3,year-fold,101.0878015030335,130.09889255381245,29.011091050778965,27.86515663100458,22.552218635350016,34.270941031117815,12.389896522736763,51.68375435719112,0,15,32.07048515940566
whole_spatial_blocks,1000,historical_density_minus_random,rmse,15,3,year-fold,31.48608844282035,38.54981939110242,7.063730948282062,6.876980049014293,6.139925467390473,7.59755960684841,5.189460664209989,10.823287228264782,0,15,22.981731546948758
whole_spatial_blocks,1000,spatial_coverage_minus_random,bias,15,3,year-fold,0.2448741210367667,0.31499234972611273,0.07011822868934584,0.22644292898639445,-0.5149595292965572,0.5573266991500181,-0.9323568276941288,0.9390638331627221,6,9,
whole_spatial_blocks,1000,spatial_coverage_minus_random,mae,15,3,year-fold,15.756649113935177,16.24302579515277,0.48637668121759403,0.48034987134968077,0.3259977558843197,0.6668849448162,0.08390358394147412,0.9607096563592563,0,15,3.169801190588486
whole_spatial_blocks,1000,spatial_coverage_minus_random,median_absolute_error,15,3,year-fold,10.062421600288364,10.668277214831305,0.6058556145429399,0.5913285705162199,0.4794359189651587,0.7162398784787314,0.40894132857385124,0.8744201717686124,0,15,6.055623507933698
whole_spatial_blocks,1000,spatial_coverage_minus_random,p95_absolute_error,15,3,year-fold,45.8607207561382,47.09954533902805,1.2388245828898385,1.1944869600565085,0.8075394338655393,1.5182747706995379,0.30971849483969294,2.4320901131643993,0,15,2.7706709683825523
whole_spatial_blocks,1000,spatial_coverage_minus_random,p99_absolute_error,15,3,year-fold,101.0878015030335,95.67939868272808,-5.4084028203054295,0.524837081345197,-4.3328632339750754,4.082837202826148,-33.7061627259322,6.524551397782318,7,8,-3.2076579178195077
whole_spatial_blocks,1000,spatial_coverage_minus_random,rmse,15,3,year-fold,31.48608844282035,31.377725737352826,-0.10836270546752758,0.3170404993837863,-0.6763566036065001,0.6488527453083375,-2.526056284820335,1.3255151749691905,5,10,0.008873912321597748
