validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_value,comparator_value,mean_difference,sd_seed_difference,seed_fraction_below_zero
whole_spatial_blocks,2010,3.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.1784470957919857,-3.7983566962024873,-3.6199096004105016,0.7589795131773581,1.0
whole_spatial_blocks,2010,3.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.304350363342465,16.038688806056438,3.7343384427139745,0.6938973114492656,0.0
whole_spatial_blocks,2010,3.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.292928733554469,9.527819936023699,1.2348912024692296,0.40834403438601663,0.0
whole_spatial_blocks,2010,3.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,33.85912452899875,50.51580672897849,16.656682199979734,3.3203114686274673,0.0
whole_spatial_blocks,2010,3.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,62.12450376107171,101.67281705881877,39.54831329774707,15.060057452765255,0.0
whole_spatial_blocks,2010,3.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,34.23608972244841,42.566544593881055,8.330454871432645,1.2843460566251559,0.0
whole_spatial_blocks,2010,4.0,5000,historical_spatial_month_balanced_minus_random,bias,20,-0.6377110495001872,-4.028014984201971,-3.3903039347017847,0.9516396307558959,1.0
whole_spatial_blocks,2010,4.0,5000,historical_spatial_month_balanced_minus_random,mae,20,12.976844806693176,16.40993329095848,3.433088484265305,0.63380845385637,0.0
whole_spatial_blocks,2010,4.0,5000,historical_spatial_month_balanced_minus_random,median_absolute_error,20,8.67825294942193,10.221947765400042,1.5436948159781114,0.2886121827800626,0.0
whole_spatial_blocks,2010,4.0,5000,historical_spatial_month_balanced_minus_random,p95_absolute_error,20,38.29053693043565,50.798797516977466,12.508260586541812,4.002538386612874,0.0
whole_spatial_blocks,2010,4.0,5000,historical_spatial_month_balanced_minus_random,p99_absolute_error,20,67.40235796222773,98.90033844033404,31.49798047810632,7.093818774544205,0.0
whole_spatial_blocks,2010,4.0,5000,historical_spatial_month_balanced_minus_random,rmse,20,24.357729568661,31.60402186008799,7.246292291426987,1.2266562097861629,0.0
whole_spatial_blocks,2014,0.0,5000,historical_spatial_month_balanced_minus_random,bias,20,0.6912771122721073,-3.4837575929102336,-4.175034705182341,1.0905403072510398,1.0
whole_spatial_blocks,2014,0.0,5000,historical_spatial_month_balanced_minus_random,mae,20,13.539173812083058,17.238854377633114,3.699680565550055,0.7315197210876163,0.0
