spatial_block,spatial_fold,lon_block,lat_block,month_grid_rows,longitude_center,latitude_center,longitude_width,latitude_width
6_14,4,6,14,2160,-50.0,55.0,20.0,10.0
16_14,4,16,14,1932,150.0,55.0,20.0,10.0
4_15,4,4,15,1080,-90.0,65.0,20.0,10.0
9_15,4,9,15,1320,10.0,65.0,20.0,10.0
2_16,4,2,16,2220,-130.0,75.0,20.0,10.0
7_16,4,7,16,96,-30.0,75.0,20.0,10.0
12_16,4,12,16,1428,70.0,75.0,20.0,10.0
17_16,4,17,16,1440,170.0,75.0,20.0,10.0
0_17,4,0,17,1008,-170.0,85.0,20.0,10.0
5_17,4,5,17,600,-70.0,85.0,20.0,10.0
10_17,4,10,17,840,30.0,85.0,20.0,10.0
15_17,4,15,17,816,130.0,85.0,20.0,10.0
