year,spatial_fold,strategy,budget,seed,month,selected_count,selected_fraction,candidate_fraction,equal_month_fraction
2005,2,historical_density,1000,18,6,89,0.089,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,7,77,0.077,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,8,75,0.075,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,9,82,0.082,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,10,97,0.097,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,11,103,0.103,0.08333333333333333,0.08333333333333333
2005,2,historical_density,1000,18,12,90,0.09,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,1,432,0.0864,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,2,436,0.0872,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,3,359,0.0718,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,4,341,0.0682,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,5,406,0.0812,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,6,405,0.081,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,7,409,0.0818,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,8,371,0.0742,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,9,382,0.0764,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,10,512,0.1024,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,11,525,0.105,0.08333333333333333,0.08333333333333333
2005,2,historical_density,5000,18,12,422,0.0844,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,1,80,0.08,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,2,86,0.086,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,3,94,0.094,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,4,84,0.084,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,5,101,0.101,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,6,88,0.088,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,7,67,0.067,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,8,87,0.087,0.08333333333333333,0.08333333333333333
2005,2,spatial_coverage,1000,18,9,78,0.078,0.08333333333333333,0.08333333333333333
