validation_scheme,year,spatial_fold,budget,comparison,metric,n_seeds,random_mean,comparator_mean,difference,relative_error_change_percent
month_stratified_hidden_cells,2014,,500,spatial_coverage_minus_random,mae,20,17.394044123143633,18.111198524126873,0.7171544009832402,4.122988282115664
month_stratified_hidden_cells,2014,,500,spatial_coverage_minus_random,median_absolute_error,20,11.484090581026303,12.342101580830377,0.8580109998040744,7.471301221027082
month_stratified_hidden_cells,2014,,500,spatial_coverage_minus_random,p95_absolute_error,20,51.07466458081532,52.55336597183778,1.4787013910224545,2.8951759216797375
month_stratified_hidden_cells,2014,,500,spatial_coverage_minus_random,p99_absolute_error,20,98.50466487631182,98.88442520376839,0.37976032745656596,0.3855252215043979
month_stratified_hidden_cells,2014,,500,spatial_coverage_minus_random,bias,20,0.21479286584198115,0.321931547189751,0.10713868134776983,
month_stratified_hidden_cells,2014,,1000,historical_density_minus_random,rmse,20,28.69992519564449,36.660587512347085,7.960662316702596,27.73757165719271
month_stratified_hidden_cells,2014,,1000,historical_density_minus_random,mae,20,14.581727346297697,19.64318656517529,5.061459218877594,34.71097146911542
month_stratified_hidden_cells,2014,,1000,historical_density_minus_random,median_absolute_error,20,9.229846768521956,11.969453182185024,2.7396064136630685,29.682035708397596
month_stratified_hidden_cells,2014,,1000,historical_density_minus_random,p95_absolute_error,20,43.16864301672421,64.20196526117925,21.033322244455043,48.72361226714123
month_stratified_hidden_cells,2014,,1000,historical_density_minus_random,p99_absolute_error,20,89.53240954944492,128.8517003990009,39.31929084955597,43.916265682363445
month_stratified_hidden_cells,2014,,1000,historical_density_minus_random,bias,20,0.39091531823611814,-3.8301486474698967,-4.221063965706015,
month_stratified_hidden_cells,2014,,1000,spatial_coverage_minus_random,rmse,20,28.69992519564449,28.190312682742768,-0.5096125129017217,-1.7756579831750248
month_stratified_hidden_cells,2014,,1000,spatial_coverage_minus_random,mae,20,14.581727346297697,14.970139937891341,0.38841259159364405,2.663693966903462
month_stratified_hidden_cells,2014,,1000,spatial_coverage_minus_random,median_absolute_error,20,9.229846768521956,9.785571772804973,0.5557250042830173,6.020955907722071
month_stratified_hidden_cells,2014,,1000,spatial_coverage_minus_random,p95_absolute_error,20,43.16864301672421,44.54421208945297,1.3755690727287586,3.1865006092404653
