latitude,longitude,delta_mae_uatm
-73.5,-120.5,-8.55153633180813
-73.5,-119.5,-11.055225036536921
-73.5,-118.5,-0.2807881604695801
-73.5,-117.5,-7.47687285251312
-73.5,-116.5,-16.0672511702262
-73.5,-115.5,-8.553632494824353
-73.5,-114.5,-9.24239356333553
-73.5,-113.5,-7.664445870622814
-73.5,-112.5,-7.137521187865045
-73.5,-111.5,-3.309590976275402
-73.5,-110.5,7.418501080800137
-73.5,-109.5,-4.005338568224609
-73.5,-108.5,
-73.5,-107.5,-3.8922027552710396
-73.5,-106.5,-2.710250496462969
-73.5,-105.5,
-73.5,-104.5,10.920038262129733
-73.5,-103.5,
-73.5,-102.5,1.622966970812321
-73.5,-85.5,23.696254368948388
-73.5,-84.5,-2.43276561918303
-73.5,-83.5,0.8999429992210253
-73.5,-82.5,
-73.5,-81.5,-11.263322720839184
-73.5,-79.5,16.288734650007022
-73.5,-78.5,-13.02724645840464
-73.5,-73.5,-1.832938988450806
-73.5,-72.5,
-73.5,-60.5,
-73.5,-59.5,3.4209746345524685
-73.5,-58.5,-3.019694731115777
-73.5,-57.5,-6.762145641006679
-73.5,-56.5,10.352887821537857
-73.5,-55.5,19.217122290365058
-73.5,-54.5,4.704195972501175
-73.5,-53.5,12.64607556073463
-73.5,-52.5,3.409041574460902
-73.5,-51.5,8.672100260969556
-73.5,-50.5,7.3773762791760475
-73.5,-49.5,10.842473823903699
-73.5,-48.5,11.17597017722623
-73.5,-47.5,15.85219849385599
-73.5,-46.5,8.09810323667418
-73.5,-45.5,8.734830429499489
-73.5,-44.5,17.3504968193505
-73.5,-43.5,
-73.5,-42.5,10.443335064766371
-73.5,-41.5,21.940514319203775
-73.5,-40.5,8.81802373633337
-73.5,-39.5,21.848408322391887
-73.5,-38.5,13.419356677561954
-73.5,-37.5,12.236335720467014
-73.5,-36.5,8.985909953904807
-73.5,-35.5,11.866961962129556
-73.5,-34.5,5.58861436625352
-73.5,-33.5,7.615947975091206
-73.5,-32.5,9.39680970024965
-73.5,-31.5,8.98251440384882
-73.5,-30.5,22.431289517734648
-73.5,-29.5,2.73085595353772
-73.5,-28.5,4.586202027204195
-73.5,-27.5,9.912024215311115
-73.5,-26.5,13.118231579458115
-73.5,-25.5,9.398596594981647
-73.5,-24.5,3.204258232288801
