latitude,longitude,delta_mae_uatm
-74.5,-138.5,-17.007985066251873
-74.5,-137.5,-12.981240273146074
-74.5,-136.5,-2.9826062938249063
-74.5,-135.5,-6.235363025170134
-74.5,-134.5,-3.5547809429304635
-74.5,-133.5,20.7314113525132
-74.5,-132.5,21.602877048614996
-74.5,-131.5,4.547760928268634
-74.5,-130.5,10.007145875980749
-74.5,-129.5,4.591961822432663
-74.5,-128.5,-8.325084113566213
-74.5,-117.5,-12.92817437611464
-74.5,-116.5,-15.102081326193812
-74.5,-115.5,-7.136639039393504
-74.5,-110.5,-9.426413917490613
-74.5,-109.5,1.0093849401495554
-74.5,-108.5,-6.736847808599187
-74.5,-107.5,1.46567214415969
-74.5,-106.5,6.876624164862648
-74.5,-105.5,-7.65524838704439
-74.5,-104.5,
-74.5,-103.5,-3.0151841130534187
-74.5,-102.5,-10.531536695491909
-74.5,-60.5,-2.762533353744253
-74.5,-59.5,1.7451852479824836
-74.5,-58.5,5.34129365755474
-74.5,-57.5,-9.743620517921775
-74.5,-56.5,13.255386996812176
-74.5,-55.5,4.379957555843717
-74.5,-54.5,5.96206062111975
-74.5,-53.5,
-74.5,-52.5,10.502322990513104
-74.5,-51.5,0.9389888469256427
-74.5,-50.5,20.073531641741745
-74.5,-49.5,16.24980928364754
-74.5,-48.5,-5.130219553727404
-74.5,-47.5,-6.6602388066142915
-74.5,-46.5,15.532104974564675
-74.5,-45.5,16.51267282461698
-74.5,-44.5,6.743380496532048
-74.5,-43.5,10.794734356855923
-74.5,-42.5,18.79570994598843
-74.5,-41.5,20.35236064013777
-74.5,-40.5,15.52433539317381
-74.5,-39.5,22.01645906751484
-74.5,-38.5,12.710891179315304
-74.5,-37.5,13.882696889876778
-74.5,-36.5,17.7886940437537
-74.5,-35.5,7.952410768289365
-74.5,-34.5,-3.598118615182061
-74.5,-33.5,23.245576447266714
-74.5,-32.5,17.785332651562946
-74.5,-31.5,-0.9039297967830571
-74.5,-30.5,28.86464564547044
-74.5,-29.5,6.612507990359511
-74.5,-28.5,3.6480764576392346
-74.5,-27.5,19.53260004434486
-74.5,-26.5,1.3214396374048931
-74.5,164.5,-28.43899481679216
-74.5,165.5,-20.485240149132476
-74.5,166.5,-12.160705210779714
-74.5,167.5,-11.499954632014273
-74.5,168.5,19.50781780950335
-74.5,169.5,-7.094432374401383
-74.5,170.5,-6.5200764288975765
-74.5,171.5,-5.547802729480231
-74.5,172.5,-3.156959645065754
-74.5,173.5,-6.477844340305218
-74.5,174.5,
-74.5,175.5,-7.149826408844637
-74.5,176.5,-4.495264583158118
-74.5,177.5,-4.457867248999559
-74.5,178.5,-8.881265611767356
-74.5,179.5,-2.6392920039347487
-73.5,-179.5,-6.439612774892357
-73.5,-178.5,13.82557999868731
-73.5,-177.5,-5.027036721808808
-73.5,-176.5,3.410260750802145
-73.5,-175.5,1.6855722153155996
-73.5,-174.5,1.2535166654144145
-73.5,-173.5,0.8281847641304694
-73.5,-172.5,1.8052109597444694
-73.5,-171.5,-1.8115164101190029
-73.5,-170.5,0.9696320068788804
-73.5,-169.5,2.3424781597402253
-73.5,-168.5,-6.415005220204017
-73.5,-167.5,1.699459315005928
-73.5,-166.5,4.410525687428685
-73.5,-165.5,2.495068905148335
-73.5,-164.5,10.364395955568014
-73.5,-163.5,-2.6753401539905965
-73.5,-162.5,10.123575685872963
-73.5,-161.5,7.321728672067485
-73.5,-160.5,2.657526877373847
-73.5,-159.5,0.45110992614312195
-73.5,-158.5,0.45784953366350667
-73.5,-157.5,1.05136196207304
-73.5,-156.5,10.026190781505907
-73.5,-155.5,2.1822547262400516
-73.5,-154.5,0.8754205652821643
-73.5,-153.5,12.361377728906232
-73.5,-152.5,-0.008734459105346204
-73.5,-151.5,
-73.5,-150.5,13.234674391050604
-73.5,-149.5,6.468619579364194
-73.5,-148.5,5.888541318859925
-73.5,-147.5,4.934391440180438
-73.5,-146.5,8.791551358452402
-73.5,-145.5,6.6106820028469535
-73.5,-144.5,4.58959899202371
-73.5,-143.5,-2.7808445760992964
-73.5,-142.5,10.876973242384858
-73.5,-141.5,3.946978697784197
-73.5,-140.5,6.577701357274858
-73.5,-139.5,-8.887620865948204
-73.5,-138.5,8.457682942900496
-73.5,-137.5,6.153492085243107
-73.5,-136.5,-4.210882789184296
-73.5,-135.5,-1.6647338491004167
-73.5,-134.5,15.833388192620088
-73.5,-133.5,-9.653270766830992
-73.5,-132.5,-2.5866678301290307
-73.5,-131.5,7.393499675681483
-73.5,-130.5,9.7021935012251
-73.5,-129.5,-6.247292328083109
-73.5,-128.5,-2.3460080643999426
-73.5,-127.5,-10.257675664514405
-73.5,-126.5,11.226081457695152
-73.5,-125.5,-7.0800367381246545
-73.5,-124.5,-8.112762620112463
-73.5,-123.5,-15.053722653948565
-73.5,-122.5,-11.192764545722987
-73.5,-121.5,-9.663807446143643
